# time N zählungen
30.0 175+/-14
60.0 183+/-14
90.0 136+/-12
120.0 145+/-13
150.0 141+/-12
180.0 118+/-11
210.0 103+/-11
240.0 93+/-10
270.0 80+/-10
300.0 86+/-10
330.0 65+/-9
360.0 55+/-8
390.0 67+/-9
420.0 32+/-7
450.0 35+/-7
480.0 47+/-8
510.0 42+/-7
540.0 26+/-6
570.0 31+/-7
600.0 18+/-6
630.0 13+/-5
660.0 29+/-7
690.0 21+/-6
720.0 5+/-4
750.0 14+/-5
780.0 13+/-5
810.0 22+/-6
840.0 11+/-5
870.0 15+/-5
900.0 4+/-4
930.0 3+/-4
960.0 10+/-5
990.0 7+/-5
1020.0 11+/-5
1050.0 7+/-5
1080.0 10+/-5
1110.0 11+/-5
1140.0 3+/-4
1170.0 6+/-4
1200.0 5+/-4
1230.0 6+/-4
1260.0 4+/-4
1290.0 2+/-4
1320.0 3+/-4
