# Zählrohrstrom eines Geigermüllerzählrohrs
#
# U [V]    I [mu A] fehler I    Zählrate N
350     	0.3     0.05    9837
400	   0.4          0.05    9995
450	   0.7          0.05    10264
500	   0.8          0.05    10151
550	   1.0          0.05    10184
600	   1.3          0.05    10253
650	   1.4          0.05    10493
700	   1.8          0.05    11547
