#   I [nanoAmpere]      U[volt]
1.25                -1.998
1.15                -1.803
0.90                -1.597
0.80                -1.402
0.65                -1.202
0.60                -0.999
0.55                -0.901
0.50                -0.801
0.45                -0.700
0.30                -0.601
0.20                -0.498
0.18                -0.400
0.12                -0.299
0.09                -0.201
0.08                -0.100
0.06                -0.001
