#Fehlstelle delta t Ueinf Urefl     Abstand 
2       46.9    1.096    0.024      67.70
3       41.2    1.096    0.041      54.75
4       35.4    1.096    0.052      46.80
5       29.6    1.096    0.066      38.65
6       23.3    1.096    0.091      30.30
7       17.2    1.096    0.101      21.70
8       10.8    1.096    0.113      13.25
9       12.3    1.096    0.169      16.20
10      46.0    1.096    0.02       61.20
11      44.5    1.096    0.02       59.55
